word,word_normalized,length,char_counts
کافه,کافه,4,"{""ک"": 1, ""ا"": 1, ""ف"": 1, ""ه"": 1}"
نیت,نیت,3,"{""ن"": 1, ""ی"": 1, ""ت"": 1}"
تاب,تاب,3,"{""ت"": 1, ""ا"": 1, ""ب"": 1}"
بیل,بیل,3,"{""ب"": 1, ""ی"": 1, ""ل"": 1}"
نان,نان,3,"{""ن"": 2, ""ا"": 1}"
بنا,بنا,3,"{""ب"": 1, ""ن"": 1, ""ا"": 1}"
بال,بال,3,"{""ب"": 1, ""ا"": 1, ""ل"": 1}"
بیت,بیت,3,"{""ب"": 1, ""ی"": 1, ""ت"": 1}"
بلا,بلا,3,"{""ب"": 1, ""ل"": 1, ""ا"": 1}"
بلیت,بلیت,4,"{""ب"": 1, ""ل"": 1, ""ی"": 1, ""ت"": 1}"
بالن,بالن,4,"{""ب"": 1, ""ا"": 1, ""ل"": 1, ""ن"": 1}"
آنتن,انتن,4,"{""ا"": 1, ""ن"": 2, ""ت"": 1}"
نبات,نبات,4,"{""ن"": 1, ""ب"": 1, ""ا"": 1, ""ت"": 1}"
تنبل,تنبل,4,"{""ت"": 1, ""ن"": 1, ""ب"": 1, ""ل"": 1}"
لبنان,لبنان,5,"{""ل"": 1, ""ب"": 1, ""ن"": 2, ""ا"": 1}"
هرم,هرم,3,"{""ه"": 1, ""ر"": 1, ""م"": 1}"
مهر,مهر,3,"{""م"": 1, ""ه"": 1, ""ر"": 1}"
میز,میز,3,"{""م"": 1, ""ی"": 1, ""ز"": 1}"
ریز,ریز,3,"{""ر"": 1, ""ی"": 1, ""ز"": 1}"
رزم,رزم,3,"{""ر"": 1, ""ز"": 1, ""م"": 1}"
جرم,جرم,3,"{""ج"": 1, ""ر"": 1, ""م"": 1}"
مرز,مرز,3,"{""م"": 1, ""ر"": 1, ""ز"": 1}"
رمز,رمز,3,"{""ر"": 1, ""م"": 1, ""ز"": 1}"
هیزم,هیزم,4,"{""ه"": 1, ""ی"": 1, ""ز"": 1, ""م"": 1}"
مجری,مجری,4,"{""م"": 1, ""ج"": 1, ""ر"": 1, ""ی"": 1}"
جزیره,جزیره,5,"{""ج"": 1, ""ز"": 1, ""ی"": 1, ""ر"": 1, ""ه"": 1}"
جریمه,جریمه,5,"{""ج"": 1, ""ر"": 1, ""ی"": 1, ""م"": 1, ""ه"": 1}"
ناز,ناز,3,"{""ن"": 1, ""ا"": 1, ""ز"": 1}"
آبی,ابی,3,"{""ا"": 1, ""ب"": 1, ""ی"": 1}"
غیب,غیب,3,"{""غ"": 1, ""ی"": 1, ""ب"": 1}"
باغ,باغ,3,"{""ب"": 1, ""ا"": 1, ""غ"": 1}"
غاز,غاز,3,"{""غ"": 1, ""ا"": 1, ""ز"": 1}"
نیاز,نیاز,4,"{""ن"": 1, ""ی"": 1, ""ا"": 1, ""ز"": 1}"
زینب,زینب,4,"{""ز"": 1, ""ی"": 1, ""ن"": 1, ""ب"": 1}"
زیان,زیان,4,"{""ز"": 1, ""ی"": 1, ""ا"": 1, ""ن"": 1}"
زیبا,زیبا,4,"{""ز"": 1, ""ی"": 1, ""ب"": 1, ""ا"": 1}"
بازی,بازی,4,"{""ب"": 1, ""ا"": 1, ""ز"": 1, ""ی"": 1}"
زبان,زبان,4,"{""ز"": 1, ""ب"": 1, ""ا"": 1, ""ن"": 1}"
غایب,غایب,4,"{""غ"": 1, ""ا"": 1, ""ی"": 1, ""ب"": 1}"
بنزین,بنزین,5,"{""ب"": 1, ""ن"": 2, ""ز"": 1, ""ی"": 1}"
نرم,نرم,3,"{""ن"": 1, ""ر"": 1, ""م"": 1}"
نور,نور,3,"{""ن"": 1, ""و"": 1, ""ر"": 1}"
ماه,ماه,3,"{""م"": 1, ""ا"": 1, ""ه"": 1}"
میوه,میوه,4,"{""م"": 1, ""ی"": 1, ""و"": 1, ""ه"": 1}"
میهن,میهن,4,"{""م"": 1, ""ی"": 1, ""ه"": 1, ""ن"": 1}"
نیمه,نیمه,4,"{""ن"": 1, ""ی"": 1, ""م"": 1, ""ه"": 1}"
ماهی,ماهی,4,"{""م"": 1, ""ا"": 1, ""ه"": 1, ""ی"": 1}"
نمره,نمره,4,"{""ن"": 1, ""م"": 1, ""ر"": 1, ""ه"": 1}"
ماهر,ماهر,4,"{""م"": 1, ""ا"": 1, ""ه"": 1, ""ر"": 1}"
نیمرو,نیمرو,5,"{""ن"": 1, ""ی"": 1, ""م"": 1, ""ر"": 1, ""و"": 1}"
روانی,روانی,5,"{""ر"": 1, ""و"": 1, ""ا"": 1, ""ن"": 1, ""ی"": 1}"
همایون,همایون,6,"{""ه"": 1, ""م"": 1, ""ا"": 1, ""ی"": 1, ""و"": 1, ""ن"": 1}"
موریانه,موریانه,7,"{""م"": 1, ""و"": 1, ""ر"": 1, ""ی"": 1, ""ا"": 1, ""ن"": 1, ""ه"": 1}"
شاد,شاد,3,"{""ش"": 1, ""ا"": 1, ""د"": 1}"
شنا,شنا,3,"{""ش"": 1, ""ن"": 1, ""ا"": 1}"
گدا,گدا,3,"{""گ"": 1, ""د"": 1, ""ا"": 1}"
نگاه,نگاه,4,"{""ن"": 1, ""گ"": 1, ""ا"": 1, ""ه"": 1}"
آهنگ,اهنگ,4,"{""ا"": 1, ""ه"": 1, ""ن"": 1, ""گ"": 1}"
شاهد,شاهد,4,"{""ش"": 1, ""ا"": 1, ""ه"": 1, ""د"": 1}"
