word,word_normalized,length,char_counts
پرداخت,پرداخت,6,"{""پ"": 1, ""ر"": 1, ""د"": 1, ""ا"": 1, ""خ"": 1, ""ت"": 1}"
عاج,عاج,3,"{""ع"": 1, ""ا"": 1, ""ج"": 1}"
جیب,جیب,3,"{""ج"": 1, ""ی"": 1, ""ب"": 1}"
جهش,جهش,3,"{""ج"": 1, ""ه"": 1, ""ش"": 1}"
باجه,باجه,4,"{""ب"": 1, ""ا"": 1, ""ج"": 1, ""ه"": 1}"
عجیب,عجیب,4,"{""ع"": 1, ""ج"": 1, ""ی"": 1, ""ب"": 1}"
شیعه,شیعه,4,"{""ش"": 1, ""ی"": 1, ""ع"": 1, ""ه"": 1}"
جعبه,جعبه,4,"{""ج"": 1, ""ع"": 1, ""ب"": 1, ""ه"": 1}"
شجاع,شجاع,4,"{""ش"": 1, ""ج"": 1, ""ا"": 1, ""ع"": 1}"
زیر,زیر,3,"{""ز"": 1, ""ی"": 1, ""ر"": 1}"
زیپ,زیپ,3,"{""ز"": 1, ""ی"": 1, ""پ"": 1}"
تبر,تبر,3,"{""ت"": 1, ""ب"": 1, ""ر"": 1}"
پرز,پرز,3,"{""پ"": 1, ""ر"": 1, ""ز"": 1}"
تیره,تیره,4,"{""ت"": 1, ""ی"": 1, ""ر"": 1, ""ه"": 1}"
رتبه,رتبه,4,"{""ر"": 1, ""ت"": 1, ""ب"": 1, ""ه"": 1}"
پریز,پریز,4,"{""پ"": 1, ""ر"": 1, ""ی"": 1, ""ز"": 1}"
شور,شور,3,"{""ش"": 1, ""و"": 1, ""ر"": 1}"
پیرو,پیرو,4,"{""پ"": 1, ""ی"": 1, ""ر"": 1, ""و"": 1}"
روشن,روشن,4,"{""ر"": 1, ""و"": 1, ""ش"": 1, ""ن"": 1}"
پروین,پروین,5,"{""پ"": 1, ""ر"": 1, ""و"": 1, ""ی"": 1, ""ن"": 1}"
شیپور,شیپور,5,"{""ش"": 1, ""ی"": 1, ""پ"": 1, ""و"": 1, ""ر"": 1}"
شیرین,شیرین,5,"{""ش"": 1, ""ی"": 2, ""ر"": 1, ""ن"": 1}"
دیس,دیس,3,"{""د"": 1, ""ی"": 1, ""س"": 1}"
عدس,عدس,3,"{""ع"": 1, ""د"": 1, ""س"": 1}"
عهد,عهد,3,"{""ع"": 1, ""ه"": 1, ""د"": 1}"
بسیج,بسیج,4,"{""ب"": 1, ""س"": 1, ""ی"": 1, ""ج"": 1}"
سجده,سجده,4,"{""س"": 1, ""ج"": 1, ""د"": 1, ""ه"": 1}"
بدهی,بدهی,4,"{""ب"": 1, ""د"": 1, ""ه"": 1, ""ی"": 1}"
دنیا,دنیا,4,"{""د"": 1, ""ن"": 1, ""ی"": 1, ""ا"": 1}"
بنیاد,بنیاد,5,"{""ب"": 1, ""ن"": 1, ""ی"": 1, ""ا"": 1, ""د"": 1}"
سوخت,سوخت,4,"{""س"": 1, ""و"": 1, ""خ"": 1, ""ت"": 1}"
ریاست,ریاست,5,"{""ر"": 1, ""ی"": 1, ""ا"": 1, ""س"": 1, ""ت"": 1}"
روایت,روایت,5,"{""ر"": 1, ""و"": 1, ""ا"": 1, ""ی"": 1, ""ت"": 1}"
تساوی,تساوی,5,"{""ت"": 1, ""س"": 1, ""ا"": 1, ""و"": 1, ""ی"": 1}"
تاخیر,تاخیر,5,"{""ت"": 1, ""ا"": 1, ""خ"": 1, ""ی"": 1, ""ر"": 1}"
سوخاری,سوخاری,6,"{""س"": 1, ""و"": 1, ""خ"": 1, ""ا"": 1, ""ر"": 1, ""ی"": 1}"
خیال,خیال,4,"{""خ"": 1, ""ی"": 1, ""ا"": 1, ""ل"": 1}"
خالی,خالی,4,"{""خ"": 1, ""ا"": 1, ""ل"": 1, ""ی"": 1}"
لوبیا,لوبیا,5,"{""ل"": 1, ""و"": 1, ""ب"": 1, ""ی"": 1, ""ا"": 1}"
برج,برج,3,"{""ب"": 1, ""ر"": 1, ""ج"": 1}"
مودب,مودب,4,"{""م"": 1, ""و"": 1, ""د"": 1, ""ب"": 1}"
واجب,واجب,4,"{""و"": 1, ""ا"": 1, ""ج"": 1, ""ب"": 1}"
جامد,جامد,4,"{""ج"": 1, ""ا"": 1, ""م"": 1, ""د"": 1}"
جادو,جادو,4,"{""ج"": 1, ""ا"": 1, ""د"": 1, ""و"": 1}"
جواد,جواد,4,"{""ج"": 1, ""و"": 1, ""ا"": 1, ""د"": 1}"
مجرد,مجرد,4,"{""م"": 1, ""ج"": 1, ""ر"": 1, ""د"": 1}"
جوراب,جوراب,5,"{""ج"": 1, ""و"": 1, ""ر"": 1, ""ا"": 1, ""ب"": 1}"
فدا,فدا,3,"{""ف"": 1, ""د"": 1, ""ا"": 1}"
عزا,عزا,3,"{""ع"": 1, ""ز"": 1, ""ا"": 1}"
دراز,دراز,4,"{""د"": 1, ""ر"": 1, ""ا"": 1, ""ز"": 1}"
عارف,عارف,4,"{""ع"": 1, ""ا"": 1, ""ر"": 1, ""ف"": 1}"
دفاع,دفاع,4,"{""د"": 1, ""ف"": 1, ""ا"": 1, ""ع"": 1}"
فردا,فردا,4,"{""ف"": 1, ""ر"": 1, ""د"": 1, ""ا"": 1}"
فرزند,فرزند,5,"{""ف"": 1, ""ر"": 1, ""ز"": 1, ""ن"": 1, ""د"": 1}"
عرفان,عرفان,5,"{""ع"": 1, ""ر"": 1, ""ف"": 1, ""ا"": 1, ""ن"": 1}"
زعفران,زعفران,6,"{""ز"": 1, ""ع"": 1, ""ف"": 1, ""ر"": 1, ""ا"": 1, ""ن"": 1}"
پاره,پاره,4,"{""پ"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
پوره,پوره,4,"{""پ"": 1, ""و"": 1, ""ر"": 1, ""ه"": 1}"
پرنده,پرنده,5,"{""پ"": 1, ""ر"": 1, ""ن"": 1, ""د"": 1, ""ه"": 1}"
وردنه,وردنه,5,"{""و"": 1, ""ر"": 1, ""د"": 1, ""ن"": 1, ""ه"": 1}"
اروند,اروند,5,"{""ا"": 1, ""ر"": 1, ""و"": 1, ""ن"": 1, ""د"": 1}"
اندوه,اندوه,5,"{""ا"": 1, ""ن"": 1, ""د"": 1, ""و"": 1, ""ه"": 1}"
پرونده,پرونده,6,"{""پ"": 1, ""ر"": 1, ""و"": 1, ""ن"": 1, ""د"": 1, ""ه"": 1}"
پهناور,پهناور,6,"{""پ"": 1, ""ه"": 1, ""ن"": 1, ""ا"": 1, ""و"": 1, ""ر"": 1}"
هوا,هوا,3,"{""ه"": 1, ""و"": 1, ""ا"": 1}"
شامی,شامی,4,"{""ش"": 1, ""ا"": 1, ""م"": 1, ""ی"": 1}"
شومینه,شومینه,6,"{""ش"": 1, ""و"": 1, ""م"": 1, ""ی"": 1, ""ن"": 1, ""ه"": 1}"
فرار,فرار,4,"{""ف"": 1, ""ر"": 2, ""ا"": 1}"
دفتر,دفتر,4,"{""د"": 1, ""ف"": 1, ""ت"": 1, ""ر"": 1}"
دارت,دارت,4,"{""د"": 1, ""ا"": 1, ""ر"": 1, ""ت"": 1}"
رفتار,رفتار,5,"{""ر"": 2, ""ف"": 1, ""ت"": 1, ""ا"": 1}"
چکش,چکش,3,"{""چ"": 1, ""ک"": 1, ""ش"": 1}"
چشمک,چشمک,4,"{""چ"": 1, ""ش"": 1, ""م"": 1, ""ک"": 1}"
چکمه,چکمه,4,"{""چ"": 1, ""ک"": 1, ""م"": 1, ""ه"": 1}"
توهم,توهم,4,"{""ت"": 1, ""و"": 1, ""ه"": 1, ""م"": 1}"
توشه,توشه,4,"{""ت"": 1, ""و"": 1, ""ش"": 1, ""ه"": 1}"
تمشک,تمشک,4,"{""ت"": 1, ""م"": 1, ""ش"": 1, ""ک"": 1}"
چشمه,چشمه,4,"{""چ"": 1, ""ش"": 1, ""م"": 1, ""ه"": 1}"
موکت,موکت,4,"{""م"": 1, ""و"": 1, ""ک"": 1, ""ت"": 1}"
تشکچه,تشکچه,5,"{""ت"": 1, ""ش"": 1, ""ک"": 1, ""چ"": 1, ""ه"": 1}"
جمع,جمع,3,"{""ج"": 1, ""م"": 1, ""ع"": 1}"
معده,معده,4,"{""م"": 1, ""ع"": 1, ""د"": 1, ""ه"": 1}"
جمعه,جمعه,4,"{""ج"": 1, ""م"": 1, ""ع"": 1, ""ه"": 1}"
جاده,جاده,4,"{""ج"": 1, ""ا"": 1, ""د"": 1, ""ه"": 1}"
جهاد,جهاد,4,"{""ج"": 1, ""ه"": 1, ""ا"": 1, ""د"": 1}"
جامعه,جامعه,5,"{""ج"": 1, ""ا"": 1, ""م"": 1, ""ع"": 1, ""ه"": 1}"
منها,منها,4,"{""م"": 1, ""ن"": 1, ""ه"": 1, ""ا"": 1}"
نرمش,نرمش,4,"{""ن"": 1, ""ر"": 1, ""م"": 1, ""ش"": 1}"
شبنم,شبنم,4,"{""ش"": 1, ""ب"": 1, ""ن"": 1, ""م"": 1}"
شماره,شماره,5,"{""ش"": 1, ""م"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
برنامه,برنامه,6,"{""ب"": 1, ""ر"": 1, ""ن"": 1, ""ا"": 1, ""م"": 1, ""ه"": 1}"
مهربان,مهربان,6,"{""م"": 1, ""ه"": 1, ""ر"": 1, ""ب"": 1, ""ا"": 1, ""ن"": 1}"
دوغ,دوغ,3,"{""د"": 1, ""و"": 1, ""غ"": 1}"
روده,روده,4,"{""ر"": 1, ""و"": 1, ""د"": 1, ""ه"": 1}"
غوره,غوره,4,"{""غ"": 1, ""و"": 1, ""ر"": 1, ""ه"": 1}"
روغن,روغن,4,"{""ر"": 1, ""و"": 1, ""غ"": 1, ""ن"": 1}"
دروغ,دروغ,4,"{""د"": 1, ""ر"": 1, ""و"": 1, ""غ"": 1}"
دوران,دوران,5,"{""د"": 1, ""و"": 1, ""ر"": 1, ""ا"": 1, ""ن"": 1}"
داروغه,داروغه,6,"{""د"": 1, ""ا"": 1, ""ر"": 1, ""و"": 1, ""غ"": 1, ""ه"": 1}"
سمنو,سمنو,4,"{""س"": 1, ""م"": 1, ""ن"": 1, ""و"": 1}"
انار,انار,4,"{""ا"": 2, ""ن"": 1, ""ر"": 1}"
ناموس,ناموس,5,"{""ن"": 1, ""ا"": 1, ""م"": 1, ""و"": 1, ""س"": 1}"
سروان,سروان,5,"{""س"": 1, ""ر"": 1, ""و"": 1, ""ا"": 1, ""ن"": 1}"
آسمان,اسمان,5,"{""ا"": 2, ""س"": 1, ""م"": 1, ""ن"": 1}"
آرمان,ارمان,5,"{""ا"": 2, ""ر"": 1, ""م"": 1, ""ن"": 1}"
یال,یال,3,"{""ی"": 1, ""ا"": 1, ""ل"": 1}"
چهل,چهل,3,"{""چ"": 1, ""ه"": 1, ""ل"": 1}"
قیچی,قیچی,4,"{""ق"": 1, ""ی"": 2, ""چ"": 1}"
ییلاق,ییلاق,5,"{""ی"": 2, ""ل"": 1, ""ا"": 1, ""ق"": 1}"
قالیچه,قالیچه,6,"{""ق"": 1, ""ا"": 1, ""ل"": 1, ""ی"": 1, ""چ"": 1, ""ه"": 1}"
مسیر,مسیر,4,"{""م"": 1, ""س"": 1, ""ی"": 1, ""ر"": 1}"
خیمه,خیمه,4,"{""خ"": 1, ""ی"": 1, ""م"": 1, ""ه"": 1}"
سرمه,سرمه,4,"{""س"": 1, ""ر"": 1, ""م"": 1, ""ه"": 1}"
مسخره,مسخره,5,"{""م"": 1, ""س"": 1, ""خ"": 1, ""ر"": 1, ""ه"": 1}"
قلک,قلک,3,"{""ق"": 1, ""ل"": 1, ""ک"": 1}"
عمق,عمق,3,"{""ع"": 1, ""م"": 1, ""ق"": 1}"
عقل,عقل,3,"{""ع"": 1, ""ق"": 1, ""ل"": 1}"
عقب,عقب,3,"{""ع"": 1, ""ق"": 1, ""ب"": 1}"
کعبه,کعبه,4,"{""ک"": 1, ""ع"": 1, ""ب"": 1, ""ه"": 1}"
کلبه,کلبه,4,"{""ک"": 1, ""ل"": 1, ""ب"": 1, ""ه"": 1}"
قلعه,قلعه,4,"{""ق"": 1, ""ل"": 1, ""ع"": 1, ""ه"": 1}"
مکعب,مکعب,4,"{""م"": 1, ""ک"": 1, ""ع"": 1, ""ب"": 1}"
معلق,معلق,4,"{""م"": 1, ""ع"": 1, ""ل"": 1, ""ق"": 1}"
غول,غول,3,"{""غ"": 1, ""و"": 1, ""ل"": 1}"
ولرم,ولرم,4,"{""و"": 1, ""ل"": 1, ""ر"": 1, ""م"": 1}"
مغول,مغول,4,"{""م"": 1, ""غ"": 1, ""و"": 1, ""ل"": 1}"
مولا,مولا,4,"{""م"": 1, ""و"": 1, ""ل"": 1, ""ا"": 1}"
دوام,دوام,4,"{""د"": 1, ""و"": 1, ""ا"": 1, ""م"": 1}"
دلاور,دلاور,5,"{""د"": 1, ""ل"": 1, ""ا"": 1, ""و"": 1, ""ر"": 1}"
اهواز,اهواز,5,"{""ا"": 2, ""ه"": 1, ""و"": 1, ""ز"": 1}"
آواره,اواره,5,"{""ا"": 2, ""و"": 1, ""ر"": 1, ""ه"": 1}"
روباه,روباه,5,"{""ر"": 1, ""و"": 1, ""ب"": 1, ""ا"": 1, ""ه"": 1}"
چرک,چرک,3,"{""چ"": 1, ""ر"": 1, ""ک"": 1}"
چوب,چوب,3,"{""چ"": 1, ""و"": 1, ""ب"": 1}"
بچه,بچه,3,"{""ب"": 1, ""چ"": 1, ""ه"": 1}"
کوره,کوره,4,"{""ک"": 1, ""و"": 1, ""ر"": 1, ""ه"": 1}"
برکه,برکه,4,"{""ب"": 1, ""ر"": 1, ""ک"": 1, ""ه"": 1}"
بلور,بلور,4,"{""ب"": 1, ""ل"": 1, ""و"": 1, ""ر"": 1}"
جواب,جواب,4,"{""ج"": 1, ""و"": 1, ""ا"": 1, ""ب"": 1}"
آمیرزا,امیرزا,6,"{""ا"": 2, ""م"": 1, ""ی"": 1, ""ر"": 1, ""ز"": 1}"
فعلا,فعلا,4,"{""ف"": 1, ""ع"": 1, ""ل"": 1, ""ا"": 1}"
در,در,2,"{""د"": 1, ""ر"": 1}"
دسترس,دسترس,5,"{""د"": 1, ""س"": 2, ""ت"": 1, ""ر"": 1}"
نیست,نیست,4,"{""ن"": 1, ""ی"": 1, ""س"": 1, ""ت"": 1}"
سخن,سخن,3,"{""س"": 1, ""خ"": 1, ""ن"": 1}"
نسخه,نسخه,4,"{""ن"": 1, ""س"": 1, ""خ"": 1, ""ه"": 1}"
خانم,خانم,4,"{""خ"": 1, ""ا"": 1, ""ن"": 1, ""م"": 1}"
خانه,خانه,4,"{""خ"": 1, ""ا"": 1, ""ن"": 1, ""ه"": 1}"
خامه,خامه,4,"{""خ"": 1, ""ا"": 1, ""م"": 1, ""ه"": 1}"
مناره,مناره,5,"{""م"": 1, ""ن"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
صفت,صفت,3,"{""ص"": 1, ""ف"": 1, ""ت"": 1}"
قوت,قوت,3,"{""ق"": 1, ""و"": 1, ""ت"": 1}"
وقت,وقت,3,"{""و"": 1, ""ق"": 1, ""ت"": 1}"
توقف,توقف,4,"{""ت"": 1, ""و"": 1, ""ق"": 1, ""ف"": 1}"
صداقت,صداقت,5,"{""ص"": 1, ""د"": 1, ""ا"": 1, ""ق"": 1, ""ت"": 1}"
تصادف,تصادف,5,"{""ت"": 1, ""ص"": 1, ""ا"": 1, ""د"": 1, ""ف"": 1}"
توافق,توافق,5,"{""ت"": 1, ""و"": 1, ""ا"": 1, ""ف"": 1, ""ق"": 1}"
شوره,شوره,4,"{""ش"": 1, ""و"": 1, ""ر"": 1, ""ه"": 1}"
شورا,شورا,4,"{""ش"": 1, ""و"": 1, ""ر"": 1, ""ا"": 1}"
رشوه,رشوه,4,"{""ر"": 1, ""ش"": 1, ""و"": 1, ""ه"": 1}"
شاهرگ,شاهرگ,5,"{""ش"": 1, ""ا"": 1, ""ه"": 1, ""ر"": 1, ""گ"": 1}"
هاشور,هاشور,5,"{""ه"": 1, ""ا"": 1, ""ش"": 1, ""و"": 1, ""ر"": 1}"
گوشواره,گوشواره,7,"{""گ"": 1, ""و"": 2, ""ش"": 1, ""ا"": 1, ""ر"": 1, ""ه"": 1}"
کور,کور,3,"{""ک"": 1, ""و"": 1, ""ر"": 1}"
روکش,روکش,4,"{""ر"": 1, ""و"": 1, ""ک"": 1, ""ش"": 1}"
لرزش,لرزش,4,"{""ل"": 1, ""ر"": 1, ""ز"": 1, ""ش"": 1}"
کشاورز,کشاورز,6,"{""ک"": 1, ""ش"": 1, ""ا"": 1, ""و"": 1, ""ر"": 1, ""ز"": 1}"
تیم,تیم,3,"{""ت"": 1, ""ی"": 1, ""م"": 1}"
امنیت,امنیت,5,"{""ا"": 1, ""م"": 1, ""ن"": 1, ""ی"": 1, ""ت"": 1}"
تنبیه,تنبیه,5,"{""ت"": 1, ""ن"": 1, ""ب"": 1, ""ی"": 1, ""ه"": 1}"
صبر,صبر,3,"{""ص"": 1, ""ب"": 1, ""ر"": 1}"
صبح,صبح,3,"{""ص"": 1, ""ب"": 1, ""ح"": 1}"
سرو,سرو,3,"{""س"": 1, ""ر"": 1, ""و"": 1}"
عصر,عصر,3,"{""ع"": 1, ""ص"": 1, ""ر"": 1}"
عصب,عصب,3,"{""ع"": 1, ""ص"": 1, ""ب"": 1}"
عرب,عرب,3,"{""ع"": 1, ""ر"": 1, ""ب"": 1}"
سرب,سرب,3,"{""س"": 1, ""ر"": 1, ""ب"": 1}"
ربع,ربع,3,"{""ر"": 1, ""ب"": 1, ""ع"": 1}"
حبس,حبس,3,"{""ح"": 1, ""ب"": 1, ""س"": 1}"
سحر,سحر,3,"{""س"": 1, ""ح"": 1, ""ر"": 1}"
روح,روح,3,"{""ر"": 1, ""و"": 1, ""ح"": 1}"
رسوب,رسوب,4,"{""ر"": 1, ""س"": 1, ""و"": 1, ""ب"": 1}"
صبور,صبور,4,"{""ص"": 1, ""ب"": 1, ""و"": 1, ""ر"": 1}"
عبور,عبور,4,"{""ع"": 1, ""ب"": 1, ""و"": 1, ""ر"": 1}"
داعش,داعش,4,"{""د"": 1, ""ا"": 1, ""ع"": 1, ""ش"": 1}"
ساعد,ساعد,4,"{""س"": 1, ""ا"": 1, ""ع"": 1, ""د"": 1}"
دشمن,دشمن,4,"{""د"": 1, ""ش"": 1, ""م"": 1, ""ن"": 1}"
دشنام,دشنام,5,"{""د"": 1, ""ش"": 1, ""ن"": 1, ""ا"": 1, ""م"": 1}"
شمعدان,شمعدان,6,"{""ش"": 1, ""م"": 1, ""ع"": 1, ""د"": 1, ""ا"": 1, ""ن"": 1}"
آهن,اهن,3,"{""ا"": 1, ""ه"": 1, ""ن"": 1}"
ناله,ناله,4,"{""ن"": 1, ""ا"": 1, ""ل"": 1, ""ه"": 1}"
نهال,نهال,4,"{""ن"": 1, ""ه"": 1, ""ا"": 1, ""ل"": 1}"
آژانس,اژانس,5,"{""ا"": 2, ""ژ"": 1, ""ن"": 1, ""س"": 1}"
آسیب,اسیب,4,"{""ا"": 1, ""س"": 1, ""ی"": 1, ""ب"": 1}"
بخار,بخار,4,"{""ب"": 1, ""خ"": 1, ""ا"": 1, ""ر"": 1}"
اسم,اسم,3,"{""ا"": 1, ""س"": 1, ""م"": 1}"
تمام,تمام,4,"{""ت"": 1, ""م"": 2, ""ا"": 1}"
حمام,حمام,4,"{""ح"": 1, ""م"": 2, ""ا"": 1}"
مسلح,مسلح,4,"{""م"": 1, ""س"": 1, ""ل"": 1, ""ح"": 1}"
اسلام,اسلام,5,"{""ا"": 2, ""س"": 1, ""ل"": 1, ""م"": 1}"
الماس,الماس,5,"{""ا"": 2, ""ل"": 1, ""م"": 1, ""س"": 1}"
هادی,هادی,4,"{""ه"": 1, ""ا"": 1, ""د"": 1, ""ی"": 1}"
فرش,فرش,3,"{""ف"": 1, ""ر"": 1, ""ش"": 1}"
فریب,فریب,4,"{""ف"": 1, ""ر"": 1, ""ی"": 1, ""ب"": 1}"
شریف,شریف,4,"{""ش"": 1, ""ر"": 1, ""ی"": 1, ""ف"": 1}"
فشار,فشار,4,"{""ف"": 1, ""ش"": 1, ""ا"": 1, ""ر"": 1}"
فارسی,فارسی,5,"{""ف"": 1, ""ا"": 1, ""ر"": 1, ""س"": 1, ""ی"": 1}"
سفارش,سفارش,5,"{""س"": 1, ""ف"": 1, ""ا"": 1, ""ر"": 1, ""ش"": 1}"
آبسه,ابسه,4,"{""ا"": 1, ""ب"": 1, ""س"": 1, ""ه"": 1}"
بغچه,بغچه,4,"{""ب"": 1, ""غ"": 1, ""چ"": 1, ""ه"": 1}"
باغچه,باغچه,5,"{""ب"": 1, ""ا"": 1, ""غ"": 1, ""چ"": 1, ""ه"": 1}"
ساچمه,ساچمه,5,"{""س"": 1, ""ا"": 1, ""چ"": 1, ""م"": 1, ""ه"": 1}"
ماشه,ماشه,4,"{""م"": 1, ""ا"": 1, ""ش"": 1, ""ه"": 1}"
ساوه,ساوه,4,"{""س"": 1, ""ا"": 1, ""و"": 1, ""ه"": 1}"
سهام,سهام,4,"{""س"": 1, ""ه"": 1, ""ا"": 1, ""م"": 1}"
ادویه,ادویه,5,"{""ا"": 1, ""د"": 1, ""و"": 1, ""ی"": 1, ""ه"": 1}"
قزوین,قزوین,5,"{""ق"": 1, ""ز"": 1, ""و"": 1, ""ی"": 1, ""ن"": 1}"
مایونز,مایونز,6,"{""م"": 1, ""ا"": 1, ""ی"": 1, ""و"": 1, ""ن"": 1, ""ز"": 1}"
دکمه,دکمه,4,"{""د"": 1, ""ک"": 1, ""م"": 1, ""ه"": 1}"
بانو,بانو,4,"{""ب"": 1, ""ا"": 1, ""ن"": 1, ""و"": 1}"
زنبور,زنبور,5,"{""ز"": 1, ""ن"": 1, ""ب"": 1, ""و"": 1, ""ر"": 1}"
آشوب,اشوب,4,"{""ا"": 1, ""ش"": 1, ""و"": 1, ""ب"": 1}"
مراحل,مراحل,5,"{""م"": 1, ""ر"": 1, ""ا"": 1, ""ح"": 1, ""ل"": 1}"
تا,تا,2,"{""ت"": 1, ""ا"": 1}"
بزودی,بزودی,5,"{""ب"": 1, ""ز"": 1, ""و"": 1, ""د"": 1, ""ی"": 1}"
منتشر,منتشر,5,"{""م"": 1, ""ن"": 1, ""ت"": 1, ""ش"": 1, ""ر"": 1}"
می,می,2,"{""م"": 1, ""ی"": 1}"
شود,شود,3,"{""ش"": 1, ""و"": 1, ""د"": 1}"
سیگار,سیگار,5,"{""س"": 1, ""ی"": 1, ""گ"": 1, ""ا"": 1, ""ر"": 1}"
گیتار,گیتار,5,"{""گ"": 1, ""ی"": 1, ""ت"": 1, ""ا"": 1, ""ر"": 1}"
یاد,یاد,3,"{""ی"": 1, ""ا"": 1, ""د"": 1}"
مزد,مزد,3,"{""م"": 1, ""ز"": 1, ""د"": 1}"
دما,دما,3,"{""د"": 1, ""م"": 1, ""ا"": 1}"
دام,دام,3,"{""د"": 1, ""ا"": 1, ""م"": 1}"
آدم,ادم,3,"{""ا"": 1, ""د"": 1, ""م"": 1}"
پیدا,پیدا,4,"{""پ"": 1, ""ی"": 1, ""د"": 1, ""ا"": 1}"
دیزی,دیزی,4,"{""د"": 1, ""ی"": 2, ""ز"": 1}"
پیام,پیام,4,"{""پ"": 1, ""ی"": 1, ""ا"": 1, ""م"": 1}"
پیاز,پیاز,4,"{""پ"": 1, ""ی"": 1, ""ا"": 1, ""ز"": 1}"
دمپایی,دمپایی,6,"{""د"": 1, ""م"": 1, ""پ"": 1, ""ا"": 1, ""ی"": 2}"
نود,نود,3,"{""ن"": 1, ""و"": 1, ""د"": 1}"
دیر,دیر,3,"{""د"": 1, ""ی"": 1, ""ر"": 1}"
رود,رود,3,"{""ر"": 1, ""و"": 1, ""د"": 1}"
ویژه,ویژه,4,"{""و"": 1, ""ی"": 1, ""ژ"": 1, ""ه"": 1}"
نروژ,نروژ,4,"{""ن"": 1, ""ر"": 1, ""و"": 1, ""ژ"": 1}"
چرا,چرا,3,"{""چ"": 1, ""ر"": 1, ""ا"": 1}"
چنگ,چنگ,3,"{""چ"": 1, ""ن"": 1, ""گ"": 1}"
خنگ,خنگ,3,"{""خ"": 1, ""ن"": 1, ""گ"": 1}"
انگل,انگل,4,"{""ا"": 1, ""ن"": 1, ""گ"": 1, ""ل"": 1}"
گران,گران,4,"{""گ"": 1, ""ر"": 1, ""ا"": 1, ""ن"": 1}"
لنگر,لنگر,4,"{""ل"": 1, ""ن"": 1, ""گ"": 1, ""ر"": 1}"
گلنار,گلنار,5,"{""گ"": 1, ""ل"": 1, ""ن"": 1, ""ا"": 1, ""ر"": 1}"
خرچنگ,خرچنگ,5,"{""خ"": 1, ""ر"": 1, ""چ"": 1, ""ن"": 1, ""گ"": 1}"
چنگال,چنگال,5,"{""چ"": 1, ""ن"": 1, ""گ"": 1, ""ا"": 1, ""ل"": 1}"
شغل,شغل,3,"{""ش"": 1, ""غ"": 1, ""ل"": 1}"
غرش,غرش,3,"{""غ"": 1, ""ر"": 1, ""ش"": 1}"
آغوش,اغوش,4,"{""ا"": 1, ""غ"": 1, ""و"": 1, ""ش"": 1}"
شلوغ,شلوغ,4,"{""ش"": 1, ""ل"": 1, ""و"": 1, ""غ"": 1}"
شغال,شغال,4,"{""ش"": 1, ""غ"": 1, ""ا"": 1, ""ل"": 1}"
الاغ,الاغ,4,"{""ا"": 2, ""ل"": 1, ""غ"": 1}"
شاغل,شاغل,4,"{""ش"": 1, ""ا"": 1, ""غ"": 1, ""ل"": 1}"
آشغال,اشغال,5,"{""ا"": 2, ""ش"": 1, ""غ"": 1, ""ل"": 1}"
دزد,دزد,3,"{""د"": 2, ""ز"": 1}"
دید,دید,3,"{""د"": 2, ""ی"": 1}"
آزاد,ازاد,4,"{""ا"": 2, ""ز"": 1, ""د"": 1}"
مداد,مداد,4,"{""م"": 1, ""د"": 2, ""ا"": 1}"
امداد,امداد,5,"{""ا"": 2, ""م"": 1, ""د"": 2}"
داماد,داماد,5,"{""د"": 2, ""ا"": 2, ""م"": 1}"
جسم,جسم,3,"{""ج"": 1, ""س"": 1, ""م"": 1}"
جسد,جسد,3,"{""ج"": 1, ""س"": 1, ""د"": 1}"
مسجد,مسجد,4,"{""م"": 1, ""س"": 1, ""ج"": 1, ""د"": 1}"
مجسمه,مجسمه,5,"{""م"": 2, ""ج"": 1, ""س"": 1, ""ه"": 1}"
ملوان,ملوان,5,"{""م"": 1, ""ل"": 1, ""و"": 1, ""ا"": 1, ""ن"": 1}"
گرم,گرم,3,"{""گ"": 1, ""ر"": 1, ""م"": 1}"
گور,گور,3,"{""گ"": 1, ""و"": 1, ""ر"": 1}"
لگو,لگو,3,"{""ل"": 1, ""گ"": 1, ""و"": 1}"
میگو,میگو,4,"{""م"": 1, ""ی"": 1, ""گ"": 1, ""و"": 1}"
گلیم,گلیم,4,"{""گ"": 1, ""ل"": 1, ""ی"": 1, ""م"": 1}"
گمرک,گمرک,4,"{""گ"": 1, ""م"": 1, ""ر"": 1, ""ک"": 1}"
گوریل,گوریل,5,"{""گ"": 1, ""و"": 1, ""ر"": 1, ""ی"": 1, ""ل"": 1}"
کباب,کباب,4,"{""ک"": 1, ""ب"": 2, ""ا"": 1}"
بابک,بابک,4,"{""ب"": 2, ""ا"": 1, ""ک"": 1}"
اسکلت,اسکلت,5,"{""ا"": 1, ""س"": 1, ""ک"": 1, ""ل"": 1, ""ت"": 1}"
بسکتبال,بسکتبال,7,"{""ب"": 2, ""س"": 1, ""ک"": 1, ""ت"": 1, ""ا"": 1, ""ل"": 1}"
پیکان,پیکان,5,"{""پ"": 1, ""ی"": 1, ""ک"": 1, ""ا"": 1, ""ن"": 1}"
